date,messages
2019-06-27,547
2019-06-28,489
2019-06-29,254
2019-06-30,209
2019-07-01,501
2019-07-02,180
2019-07-03,190
2019-07-04,106
2019-07-05,435
2019-07-06,154
2019-07-07,120
2019-07-08,117
2019-07-09,145
2019-07-10,275
2019-07-11,113
2019-07-12,372
2019-07-13,108
2019-07-14,54
2019-07-15,217
2019-07-16,122
2019-07-17,119
2019-07-18,237
2019-07-19,75
2019-07-20,682
2019-07-21,174
2019-07-22,98
2019-07-23,124
2019-07-24,182
2019-07-25,117
2019-07-26,175
2019-07-27,83
2019-07-28,107
2019-07-29,156
2019-07-30,238
2019-07-31,86
2019-08-01,488
2019-08-02,197
2019-08-03,156
2019-08-04,102
2019-08-05,39
2019-08-06,123
2019-08-07,180
2019-08-08,96
2019-08-09,173
2019-08-10,102
